LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XG -> LZ | EO -> LG | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | XZ -> PT | ET -> PO | ELPX -> GOTZ | PZ -> EG | PZ -> EG
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | EO -> LG | PZ -> EG | LT -> EZ | XG -> LZ | ELPX -> GOTZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | PZ -> EG | XG -> LZ | XZ -> PT | ET -> PO | EO -> LG | LT -> EZ | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | XZ -> PT | ELPX -> GOTZ | PZ -> EG | EO -> LG | LT -> EZ | LT -> EZ | XZ -> PT | XG -> LZ | ET -> PO | LT -> EZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | XG -> LZ | XZ -> PT | ELPX -> GOTZ | XZ -> PT | XG -> LZ | PZ -> EG | EO -> LG | LT -> EZ | LT -> EZ | XZ -> PT | XG -> LZ | ET -> PO | LT -> EZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | PZ -> EG | XG -> LZ | XZ -> PT | ELPX -> GOTZ | EO -> LG | XZ -> PT | XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | ET -> PO | LT -> EZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | ET -> PO | ELPX -> GOTZ | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | XZ -> PT | EO -> LG | ELPX -> GOTZ | LT -> EZ | LT -> EZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | ET -> PO | EO -> LG | XG -> LZ | ELPX -> GOTZ | PZ -> EG | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | XG -> LZ | ELPX -> GOTZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | ELPX -> GOTZ | XZ -> PT | XZ -> PT | XG -> LZ | EO -> LG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ET -> PO | EO -> LG | XG -> LZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | LT -> EZ | XG -> LZ | ELPX -> GOTZ
LXXXXX x2 + Z   =>  XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | ET -> PO | EO -> LG | XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | PZ -> EG | PZ -> EG | XG -> LZ | LT -> EZ | XZ -> PT | XG -> LZ | ELPX -> GOTZ
